FAO_code,Latin species name,English,Spanish,French
MZH,Molpadia musculus,,,
MZJ,Zenion japonicum,,,
MZL,Mazzaella laminarioides,,Luga cuchara o corta,
MZM,Scinaia hormoides,Moniliform sea moss,,
MZP,Mystacoleucus padangensis,,,
MZS,Scorpaena maderensis,Madeira rockfish,Rascacio de Madeira,Rascasse de Madère
MZT,Microchirus theophila,Bastard sole,Acevía senegalesa,Sole-perdrix juive
MZU,Mormyrus spp,Bottlenose fishes nei,,
MZX,Malea spp,,,
MZY,Melanonus zugmayeri,Arrowtail,,
MZZ,Osteichthyes,Marine fishes nei,Peces marinos nep,Poissons marins nca
NAA,Nandus nandus,Gangetic leaffish,,
NAB,Naso brevirostris,Spotted unicornfish,,
NAC,Anarrhichthys ocellatus,Wolf-eel,,
NAE,Narcetes erimelas,,,
NAF,Anampses geographicus,Geographic wrasse,,
NAG,Pangio agma,,,
NAH,Parapenaeopsis hungerfordi,Dog shrimp,Camarón perro,Crevette chien
NAI,Naso lituratus,Orangespine unicornfish,,
NAJ,Pinna muricata,Prickly pen shell,,Jambonneau epineux
NAK,Parapenaeopsis acclivirostris,Hawknose shrimp,Camarón aguileño,Crevette aquiline
NAL,Nannocampus elegans,Elegant pipefish,,
NAM,Panna microdon,Panna croaker,,
NAN,Nansenia spp,,,
NAO,Nautichthys oculofasciatus,Sailfin sculpin,,
NAP,Parapenaeopsis sculptilis,Rainbow shrimp,Camarón arco iris,Crevette arc-en-ciel
NAQ,Anomalocardia squamosa,Squamose venus,,Vénus écailleuse
NAR,Monodon monoceros,Narwhal,Narval,Narval
NAS,Naso unicornis,Bluespine unicornfish,Berbero de aguijon azul,Nason à éperons bleus
NAT,Anacanthus barbatus,Bearded leatherjacket,,
NAU,Naucrates ductor,Pilotfish,Pez piloto,Poisson pilote
NAV,Nannosalarias nativitatus,Pygmy blenny,,
NAW,Parapenaeopsis hardwickii,Spear shrimp,Camarón lanzón,Crevette javelot
NAX,Parapenaeopsis maxillipedo,Torpedo shrimp,Camarón torpedo,Crevette torpille
NAY,Parapenaeopsis stylifera,Kiddi shrimp,Camarón kidi,Crevette kidi
NAZ,Nassarius gibbosulus,Gibbous nassa,Mugarida jorobada,Nasse bossue
NBA,Nibea maculata,Blotched croaker,,
NBB,Neogobius bathybius,,,
NBC,Notolabrus celidotus,Spotty,,
NBE,Nalbantichthys elongatus,,,
NBI,Acanthemblemaria spinosa,Spinyhead blenny,,
NBK,Prionobutis koilomatodon,Mud sleeper,,
NBM,Nebris microps,Smalleye croaker,,
NBO,Nebris occidentalis,Pacific smalleye croaker,,
NBP,Acanthemblemaria aspera,Roughhead blenny,,
NBR,Caranx bartholomaei,Yellow jack,Cojinua amarilla,Carangue grasse
NBS,Nibea semifasciata,Sharpnose croaker,,
NBT,Neobuccinum eatoni,Antarctic whelk,Bucino antártico,Buccin antarctique
NBU,Neogobius melanostomus,Round goby,,
NBX,Nassarius spp,,,
NBY,Nothobranchius cyaneus,,,
NBZ,Percnon gibbesi,Nimble spray crab,Araña plana,
NCA,Plectranthias altipinnatus,,,
NCB,Neoclinus blanchardi,Sarcastic fringehead,,
NCC,Chitala chitala,Clown knifefish,,
NCD,Nicholsina denticulata,Loosetooth parrotfish,,
NCE,Notoclinops caerulepunctus,Blue-dot triplefin,,
NCF,Nematocarcinus africanus,African spider shrimp,Camarón araña africano,Crevette araignée d'Afrique
NCG,Chitala lopis,Giant featherback,,
NCH,Notocheirus hubbsi,,,
NCI,Nacella concinna,Antarctic limpet,Patela antártica,Patelle antarctique
NCJ,Nacella edgari,Depressed limpet,Patela chata,Patelle plate
NCK,Lipkius holthuisi,Omega prawn,,
NCL,Paphia spp,Short neck clams nei,,
NCM,Notocrangon antarcticus,,,
NCN,Nannacara anomala,Goldeneye cichlid,,
NCO,Nematalosa come,Western Pacific gizzard shad,,
NCP,Nectoliparis pelagicus,Tadpole snailfish,,
NCQ,Acanthostracion quadricornis,Scrawled cowfish,,
NCR,Neocirrhites armatus,Flame hawkfish,,
NCS,Nanochromis consortus,,,
NCT,Anchichoerops natalensis,Natal wrasse,,
NCW,Chitala blanci,Indochina featherback,,
NCX,Chicoreus spp,,,
NCY,Acanthostracion polygonius,Honeycomb cowfish,,
NCZ,Nematocarcinus agassizii,Spider shrimp,Camarón araña peruano,Crevette araignée
NDA,Neoditrema ransonneti,,,
NDB,Neoglyphidodon bonang,Ocellated damsel,,
NDC,Anadara corbuloides,Basket ark,Arca canastillo,Arche corbeille
NDD,Pandalopsis dispar,Sidestripe shrimp,Camarón de banda,Crevette à flancs rayés
NDE,Anadara ferruginea,Rusty ark,,Arche rouillée
NDG,Nototodarus gouldi,Gould's flying squid,Pota australiana,Encornet éventail
NDH,Nototodarus hawaiiensis,Hawaiian flying squid,Pota hawaiana,Encornet bouquet
NDI,Sandelia bainsii,Rocky kurper,,
NDJ,Pandalopsis japonica,Morotoge shrimp,Camarón morotoje,Crevette morotoge
NDK,Nibea soldado,Soldier croaker,,
NDL,Anadara notabilis,Eared ark,Arca orejona,Arche auriculée
NDM,Anadara mazatlanica,Mazatlan's ark,Arca de Mazatlan,Arche de Mazatlan
NDN,Anadara grandis,Grand ark,Arca casco de burro,Arche pied d'âne
NDO,Anadara nodifera,Nodular ark,,Arche noduleuse
NDP,Pandalopsis spp,Pandalopsis shrimps nei,Camarones Pandalopsis nep,Crevettes Pandalopsis nca
NDQ,Anadara antiquata,Antique ark,,Arche antique
NDR,Andamia reyi,,,
NDS,Parapandalus spinipes,Oriental narwal shrimp,Camarón narval oriental,Crevette narval orientale
NDT,Anadara multicostata,Many ribbed ark,Arca piangua,Arche rayonnante
NDU,Scapharca biangulata,Sowerby's ark,Arca de Sowerby,Arche de Sowerby
NDV,Anadara diluvii,Diluvial ark,Arca del diluvio,Arche du déluge
NDW,Neolithodes diomedeae,,,
NDX,Natica spp,,,
NDY,Nodilittorina pyramidalis,Pyramidal prickly-winkle,,Littorine pyramidale
NDZ,Anadara ovalis,Blood ark,,Arche ovale
NEA,Metanephrops andamanicus,Andaman lobster,Cigala de Andamán,Langoustine andamane
NEB,Parapercis colias,New Zealand blue cod,,
NEC,Pseudophycis bachus,Red codling,Brotolilla,Morue rouge
NED,Tylosurus spp,Needlefishes nei,Maraos nep,Aiguilles nca
NEE,Neonoemacheilus labeosus,,,
NEF,Neoceratias spinifer,,,
NEG,Neophrynichthys angustus,Pale toadfish,,
NEH,Nephtys hombergii,,Blanca,
NEI,Neolissochilus blanci,,,
NEJ,Neohomaloptera johorensis,,,
NEK,Neorossia caroli,Carol bobtail squid,Globito de Carol,Sépiole de Carol
NEL,Nematabramis alestes,,,
NEM,Metanephrops mozambicus,Mozambique lobster,Cigala del Mozambique,Langoustine du Mozambique
NEN,Nesiarchus nasutus,Black gemfish,Escolar narigudo,Escolier long nez
NEO,Neobola moeruensis,,,
NEP,Nephrops norvegicus,Norway lobster,Cigala,Langoustine
NER,Nereis diversicolor,Ragworm,Titxare,
NES,Nephropsis stewarti,Indian Ocean lobsterette,Cigala del Océano índico,Langoustine indienne
NET,Nematobrycon lacortei,Rainbow tetra,,
NEU,Neogastromyzon nieuwenhuisii,,,
NEX,Nephropidae,"True lobsters,lobsterettes nei","Bogavantes, cigalas nep","Homards, langoustines nca"
NEY,Nemacheilus abyssinicus,,,
NEZ,Notosaria nigricans,,,
NFA,Strongylura marina,Atlantic needlefish,Agujón verde,Aiguillette verte
NFB,Norfolkia brachylepis,Tropical scaly-headed triplefi,,
NFC,Neoophorus catarinae,,,
NFE,Nephropsis ensirostris,Gladiator lobsterette,,
NFF,Paranephrops planifrons,Koura crayfish,,
NFG,Facciolella gilberti,Dogface witch-eel,,
NFH,Nephropsis malhaensis,Saya de Malha lobsterette,,
NFI,Nephropsis rosea,Two-toned lobsterette,,Langoustine bicolore
NFJ,Neoglyphea inopinata,Fenix lobster,,
NFK,Nephropsis acanthura,Spinetail lobsterette,,
NFL,Nephropsis sulcata,Grooved lobsterette,,
NFM,Nephropsis suhmi,Red and white lobsterette,Cigala roja y blanca,Langoustine rouge et blanche
NFN,Nephropsis neglecta,Ruby lobsterette,,
NFO,Nephropsis occidentalis,Pacific lobsterette,Cigala del Pacífico,Langoustine du Pacifique
NFP,Nephropsis carpenteri,Ridge-back lobsterette,,Langoustine à dos strié
NFR,Nephropides caribaeus,Mitten lobsterette,,Langoustine mitaine
NFS,Niphon spinosus,Ara,,
NFT,Nephropsis atlantica,Scarlet lobsterette,Cigala escarlata,Langoustine écarlate
NFU,Nephropsis aculeata,Florida lobsterette,Cigala de Florida,Langoustine de Floride
NFX,Melongena spp,,,
NFZ,Nephropsis agassizii,Prickly lobsterette,Cigala de grano,Langoustine épineuse
NGA,Negaprion acutidens,Sicklefin lemon shark,Tiburón segador,Requin limon faucille
NGB,Negaprion brevirostris,Lemon shark,Tiburón galano,Requin citron
NGC,Carangoides caeruleopinnatus,Coastal trevally,,
NGD,Carangoides dinema,Shadow trevally,,
NGE,Carangoides hedlandensis,Bumpnose trevally,,
NGF,Nagaichthys filipes,,,
NGG,Notograptus guttatus,,,
NGH,Carangoides chrysophrys,Longnose trevally,,
NGI,Nangra itchkeea,,,
NGJ,Carangoides bajad,Orangespotted trevally,Jurel lentejuela,Carangue lentigine
NGK,Melongena melongena,West Indian crown conch,Melongena antillana,Mélongène des Caraïbes
NGL,Nemuroglanis lanceolatus,,,
NGM,Carangoides humerosus,Duskyshoulder trevally,,
NGN,Carangoides otrynter,Threadfin jack,,
NGO,Carangoides oblongus,Coachwhip trevally,,
NGP,Notoglanidium pallidum,,,
NGQ,Carangoides equula,Whitefin trevally,,
NGR,Carangoides armatus,Longfin trevally,,
NGS,Carangoides malabaricus,Malabar trevally,Jurel malabárico,Carangue monique
NGT,Carangoides orthogrammus,Island trevally,,
NGU,Carangoides fulvoguttatus,Yellowspotted trevally,Jurel centellante,Carangue pailletée
NGV,Acentrogobius viridipunctatus,,,
NGX,Carangoides spp,,,
NGY,Carangoides gymnostethus,Bludger,,
NGZ,Notarius grandicassis,Thomas sea catfish,Bagre Tomás,Mâchoiron grondé
NHA,Merluccius productus,North Pacific hake,Merluza del Pacífico norte,Merlu du Pacifique nord
NHB,Nannatherina balstoni,Balston's pygmy perch,,
NHC,Neoheterandria cana,,,
NHD,Hoplunnis diomedianus,Blacktail pike-conger,,
NHE,Annelida,Annelid worms,,
NHG,Paranotothenia angustata,Maori chief,,
NHH,Halosauropsis macrochir,Abyssal halosaur,,
NHI,Acanthacaris tenuimana,Prickly deep-sea lobster,Cigala raspa,Langoustine spinuleuse
NHJ,Paranotothenia microlepidota,Black cod,,
NHK,Pennahia anea,Bigeye croaker,Corvina plomiza,Courbine grise
NHL,Ancistroteuthis lichtensteini,Angel squid,Luria paloma,Cornet archange
NHM,Pennahia macrocephalus,Big-head pennah croaker,,
NHN,Selenanthias analis,Pearl-spotted fairy basslet,,
NHO,Nannochloris atomus,,,
NHP,Halosaurus pectoralis,Australian halosaur,,
NHQ,Paranotothenia dewitti,,,
NHR,Canthidermis macrolepis,Largescale triggerfish,,
NHS,Neoniphon sammara,Sammara squirrelfish,Candil samara,Marignan tacheté
NHT,Acanthaphritis barbata,,,
NHU,Halosaurus ovenii,,,
NHV,Aldrovandia rostrata,,,
NHW,Pennahia pawak,Pawak croaker,,
NHX,Pennahia spp,,,
NHY,Paranotothenia spp,Paranotothenia nei,Paranotothenia nep,Paranotothenia nca
NIA,Penaeopsis balssi,Scythe shrimp,Camarón guadaña,Crevette fausse
NIB,Parapenaeopsis balli,Bally shrimp,Camarón bali,Crevette ballli
NID,Taningia danae,Dana octopus squid,Pulpota,Encornet poulpe dana
NIE,Penaeopsis eduardoi,Four-spined needle shrimp,,
NIG,Parapenaeopsis gracillima,Thin shrimp,,
NIL,Senilia senilis,Heavy African ark,Arca gruesa africana,Arche épaisse d'Afrique
NIM,Neoepinnula americana,American sackfish,Escolar americano,Escolier américain
NIN,Parapenaeopsis nana,Dwarf shrimp,Camarón enano,Crevette naine
NIP,Lates niloticus,Nile perch,Perca del Nilo,Perche du Nil
NIR,Notiocampus ruber,Red pipefish,,
NIS,Penaeopsis serrata,Megalops shrimp,Camarón megalops,Crevette mégalops
NIT,Parapenaeopsis tenella,Smoothshell shrimp,Camarón liso,Crevette glabre
NIU,Parapenaeopsis uncta,Uncta shrimp,Camarón unta,Crevette uncta
NIV,Parapenaeopsis venusta,Adonis shrimp,Camarón adonis,Crevette adonis
NIX,Nerita spp,,,
NJA,Nassarius arcularius,Cake nassa,,Nasse coffret
NJB,Natica broderipiana,Broderip's moon snail,Nática luna,Natice lune
NJC,Natica chemnitzii,Chemnitz's moon snail,Nática fanguera,Natice de vase
NJD,Nassarius dorsatus,Channeled nassa,,Nasse canaliculée
NJE,Nerita peloronta,Bleeding tooth,Nerita diente sangrante,Nérite dent saignante
NJG,Noetia gambiensis,Gambia ark,Arca de Gambia,Arche de Gambie
NJL,Natica lineata,Lined moon snail,,Natice lignée
NJN,Nassarius glans,Glans nassa,,Nasse rayée
NJO,Nassarius coronatus,Coronate nassa,,Nasse couronnée
NJP,Notostomus japonicus,Japanese spinyridge,,
NJR,Nassarius crematus,Burned nassa,,Nasse brûlée
NJS,Natica stellata,Starry moon snail,,Natice étoilée
NJT,Natica tigrina,Tiger moon snail,Nática atigrada,Natice tigrée
NJU,Natica gualteriana,Gualteri's moon snail,,Natice de Gualteri
NJV,Natica vitellus,Calf moon snail,,Natice châtain
NJX,Lithophaga spp,Date mussels nei,,
NKA,Natica adansoni,Adanson's moon snail,Nática de Adanson,Natice d'Adanson
NKB,Anomalocardia brasiliana,West Indian pointed venus,,
NKC,Nassarius cuvieri,Cuvier's nassa,Mugarida de Cuvier,Nasse de Cuvier
NKD,Naticarius dillwyni,Dillwyn's moon-shell,Nática de Dillwyn,Natice de Dillwyn
NKF,Annachlamys flabellata,Leopard scallop,,Pétoncle léopard
NKG,Nacella kerguelenensis,Kerguelen limpet,Patela de Kerguelen,Patelle de Kerguelen
NKH,Naticarius hebraeus,Hebrew moon-shell,Caracol de luna,Natice marbrée
NKK,Natica marochiensis,Morocco moon snail,Nática marroquí,Natice du Maroc
NKL,Ancistrocheirus lesueuri,Sharpear enope squid,Enoploluria rómbica,Encornet cachalot
NKM,Natica fulminea,Flamed moon snail,Nática flamante,Natice flammée
NKN,Nassarius corniculus,Horned nassa,Mugarida cornea,Nasse fasciée
NKO,Natica collaris,Collar moon snail,Nática engolada,Natice à collet
NKR,Meganyctiphanes norvegica,Norwegian krill,Krill de Noruega,Krill norvégien
NKS,Naticarius stercus-muscarum,Thousand-spotted moon-shell,Caracol milpuntos,Natice mille-points
NKT,Natica turtoni,Turton's moon snail,Nática deTurton,Natice de Turton
NKV,Naticarius vittatus,Ribboned moon-shell,Nática listada,Natice lancinée
NKX,Noetia spp,,,
NLA,Neolebias ansorgii,,,
NLB,Blenniella bilitonensis,,,
NLC,Nematopalaemon schmitti,Whitebelly prawn,Camarón cuac,Bouquet covac
NLD,Notopogon lilliei,Crested bellowfish,,
NLE,Neolithodes asperrimus,Rough king crab,Centolla aspera,Crabe royal grêle
NLG,Panulirus guttatus,Spotted spiny lobster,Langosta moteada,Langouste brésilienne
NLH,Nematopalaemon hastatus,West African estuarine prawn,Camarón estuarino africano,Bouquet étier
NLI,Panulirus marginatus,Banded spiny lobster,,Langouste bordée
NLJ,Panulirus stimpsoni,Chinese spiny lobster,Langosta chinesa,Langouste chinoise
NLK,Tonicella rubra,Northern red chiton,,
NLL,Natalichthys leptus,Pencil snakelet,,
NLM,Neolaeops microphthalmus,Crosseyed flounder,,
NLN,Nematopalaemon tenuipes,Spider prawn,Camarón araña Indo-Pacífico,Bouquet araignée
NLO,Nemalion helminthoides,Sea spaghetti,Espagueti de mar,Spaghetti de mer
NLP,Conniella apterygia,Mutant wrasse,,
NLQ,Panulirus pascuensis,Easter Island spiny lobster,,
NLS,Notolycodes schmidti,,,
NLT,Nealotus tripes,Black snake mackerel,Escolar oscuro,Escolier reptile
NLU,Neolumpenus unocellatus,,,
NLX,Anomia spp,,,
NLY,Nelusetta ayraudi,Chinaman-leatherjacket,,
NMA,Neomerinthe amplisquamiceps,,,
NMB,Nemadoras bachi,,,
NMC,Notemigonus crysoleucas,Golden shiner,,
NMD,Nemacheilus denisoni,,,
NME,Nemateleotris decora,Elegant firefish,,
NMF,Metapenaeopsis philippii,Philip velvet shrimp,Camarón gamuza Felipe,Crevette chamois philippe
NMG,Nomeus gronovii,Man-of-war fish,Pastorcillo,
NMH,Nematops chui,Narrow-body righteye flounder,,
NMI,Nematogobius ansorgii,,,
NMJ,Metapenaeopsis mogiensis,Mogi velvet shrimp,Camarón gamuza mogi,Crevette chamois mogi
NMK,Nematoscelis gracilis,,,
NML,Neomyxus leuciscus,Acute-jawed mullet,,
NMM,Nematoscelis megalops,,,
NMN,Metapenaeopsis palmensis,Southern velvet shrimp,Camarón gamuza sureño,Crevette chamois méridionale
NMP,Nematistius pectoralis,Roosterfish,,
NMQ,Metapenaeopsis rosea,Pink velvet shrimp,Camarón gamuza rosado,Crevette chamois rosée
NMR,Nemanthias carberryi,Threadfin anthias,,
NMS,Nemaclinus atelestos,Threadfin blenny,,
NMT,Neamia octospina,Eightspine cardinalfish,,
NMU,Metapenaeopsis novaeguineae,Northern velvet shrimp,Camarón gamuza norteño,Crevette chamois nordique
NMV,Nimbochromis fuscotaeniatus,Fuscotaeniatus,,
NMW,Nomeus spp,,,
NMX,Nyctiphanes simplex,,,
NMY,Metapenaeopsis stridulans,Fiddler shrimp,Camarón violinista,Crevette violoneux
NNA,Nannopetersius ansorgii,,,
NNB,Nannostomus beckfordi,Golden pencilfish,,
NNC,Nemipterus celebicus,Celebes threadfin bream,,
NND,Nemipterus tambuloides,Fivelined threadfin bream,,
NNE,Labichthys yanoi,,,
NNF,Nemipterus nematophorus,Doublewhip threadfin bream,,
NNG,Nettenchelys gephyra,,,
NNH,Nemipterus hexodon,Ornate threadfin bream,,
NNI,Nemipterus balinensis,Balinese threadfin bream,,
NNJ,Nemipterus japonicus,Japanese threadfin bream,Baga japonesa,Cohana japonaise
NNK,Nemipterus peronii,Notchedfin threadfin bream,Baga tolú,Cohana tolu
NNL,Lipogenys gillii,,,
NNM,Nemipterus marginatus,Red filament threadfin bream,,
NNN,Notacanthus chemnitzii,Spiny eel,,
NNO,Nemipterus mesoprion,Mauvelip threadfin bream,,
NNP,Polyacanthonotus rissoanus,,,
NNQ,Nemipterus nemurus,Redspine threadfin bream,,
NNR,Nemipterus gracilis,Graceful threadfin bream,,
NNS,Nettastoma solitarium,,,
NNT,Nemipterus bathybius,Yellowbelly threadfin bream,,
NNU,Nannaethiops unitaeniatus,Oneline tetra,,
NNV,Notolepis annulata,Ringed barracudina,Barracudina anillada,Barracudine annelée
NNW,Pinna rudis,Rough pen shell,Pina aspera,Jambonneau rude
NNX,Neosebastes entaxis,Orange-banded scorpionfish,,
NNY,Nototheniops nybelini,,,
NNZ,Nemipterus randalli,Randall's threadfin bream,,
NOA,Notothenia acuta,Triangular rockcod,Trama triangular,Bocasse triangulaire
NOB,Nocomis biguttatus,Hornyhead chub,,
NOC,Notothenia coriiceps,Black rockcod,Trama negra,Bocasse noire
NOD,Nototheniops nudifrons,Yellowfin notie,Doradillo pobre,Bocassette dégarnie
NOE,Notolepis spp,,,
NOF,Notothenia angustifrons,Narrowhead rockcod,Trama,Bocasse obtuse
NOG,Notothenia gibberifrons,Humped rockcod,Trama jorobada,Bocasse bossue
NOH,Nocomis leptocephalus,Bluehead chub,,
NOI,Nocomis micropogon,River chub,,
NOJ,Clinoporus biporosus,Ladder klipfish,,
NOK,Notothenia kempi,Striped-eyed rockcod,Trama ojirayada,Bocasse aux yeux rayés
NOL,Nototheniops larseni,Painted notie,Doradillo escribano,Bocassette écrivain
NOM,Paranotothenia magellanica,Magellanic rockcod,Trama común,Bocasse magellanique
NON,Notothenia neglecta,Yellowbelly rockcod,Trama amarilla,Bocasse jaune
NOO,Notoscopelus bolini,,,
NOP,Trisopterus esmarkii,Norway pout,Faneca noruega,Tacaud norvégien
NOQ,Anomia ephippium,Common jingle shell,Ostra de perro,Anomie pelure
NOR,Notothenia rossii,Marbled rockcod,Trama jaspeada,Bocasse marbrée
NOS,Notothenia squamifrons,Grey rockcod,Trama gris,Bocasse grise
NOT,Patagonotothen brevicauda,Patagonian rockcod,Trama patagónica,Bocasse de Patagonie
NOU,Clinostomus elongatus,Redside dace,,
NOV,Notolychnus valdiviae,,,
NOW,Anemonia sulcata,Snakelocks anemone,Anemona de mar común,Anemone de mer
NOX,Nototheniidae,"Antarctic rockcods, noties nei","Tramas, doradillos nep","Bocasses, bocassons nca"
NOZ,Nototheniops mizops,Toad notie,Ojo de sapo,Bocassette crapaud
NPA,Engraulis mordax,Californian anchovy,Anchoa de California,Anchois de Californie
NPB,Parapenaeopsis probata,Parole shrimp,Camarón parolo,Crevette parole
NPC,Pentapodus caninus,Small-toothed whiptail,,
NPD,Pentapodus paradiseus,Paradise whiptail,,
NPE,Notopogon endeavouri,,,
NPF,Neoplecostomus franciscoensis,,,
NPG,Neocentropogon aeglefinis,,,
NPH,Scomberomorus niphonius,Japanese Spanish mackerel,Carite oriental,Thazard oriental
NPI,Parapenaeopsis coromandelica,Coromandel shrimp,Camarón coromandel,Crevette coromandel
NPJ,Panopeus africanus,African mud crab,Canrejo de piedra africano,Crabe caillou africain
NPK,Neotropius khavalchor,,,
NPL,Chaenopsis alepidota,Orangethroat pikeblenny,,
NPM,Anoplocapros amygdaloides,Western smooth boxfish,,
NPN,Parapenaeopsis cornuta,Coral shrimp,Camarón coral,Crevette corail
NPO,Nannoperca oxleyana,Oxleyan pygmy perch,,
NPP,Parapenaeopsis spp,Parapenaeopsis shrimps nei,Camarones Parapenaeopsis nep,Crevettes Parapenaeopsis nca
NPQ,Neopycnodonte cochlear,Spoon oyster,Ostra del sur,Pycnodonte-cuillere
NPR,Notopogon fernandezianus,Orange bellowfish,,
NPS,Parascolopsis aspinosa,Smooth dwarf monocle bream,Besugato liso,Mamila lisse
NPT,Neoaploactis tridorsalis,Threefin velvetfish,,
NPU,Anoplarchus purpurescens,High cockscomb,,
NPV,Anomia peruviana,Peruvian jingle shell,Cascabel peruano,Anomie péruvienne
NPW,Neopataecus waterhousii,Whiskered prowfish,,
NPX,Notopogon xenosoma,Longspine bellowfish,,
NPY,Pentapodus emeryii,Double whiptail,,
NPZ,Neopomacentrus azysron,Yellowtail demoiselle,,
NQA,Monodonta articulata,Articulate monodont,Peonza,Monodonte articulée
NQB,Nerita albicilla,Oxpalate nerite,,Nérite brûlée
NQC,Nerita chameleon,Chameleon nerite,,Nérite caméléon
NQD,Mnemiopsis mccradyi,,,
NQE,Anodontia edentula,Toothless lucine,,Lucine edentule
NQI,Nerita picea,Pitchy nerite,,Nérite ébène
NQJ,Neritina turrita,Turreted nerite,,Nérite tourelle
NQK,Nerita costata,Costate nerite,,Nérite côtelée
NQL,Nerita planospira,Flatspired nerite,,Nérite à spire plate
NQM,Monodonta mutabilis,Mutable monodont,Peonza mutable,Monodonte intermediaire
NQN,Channa lucius,,,
NQO,Nerita polita,Polished nerite,,Nérite lustrée
NQP,Nerita plicata,Plicate nerite,,Nérite plissée
NQQ,Nerita squamulata,Scaly nerite,,Nérite écailleuse
NQR,Anadara reinharti,Reinhart's ark,Arca de Reinhart,Arche de Reinhart
NQS,Nerita senegalensis,Senegal nerite,Nerita senegalesa,Nérite du Sénégal
NQT,Anadara tuberculosa,Black ark,Arca negra,Arche noire
NQU,Monodonta turbinata,Turbinate monodont,Peonza fresa,Monodonte-fraise
NQX,Pentapodus spp,,,
NQY,Mnemiopsis leidyi,,,
NRA,Parapenaeus australiensis,Australian rose shrimp,Camarón rosado australiano,Crevette rose australienne
NRB,Centrodoras brachiatus,,,
NRC,Normanichthys crockeri,Mote sculpin,Mote camotillo,Mote
NRD,Notolepis rissoi,Spotted barracudina,Barracudina pintada,Barracudine pintade
NRE,Anaora tentaculata,Tentacled dragonet,,
NRF,Parapenaeus fissurus,Neptune rose shrimp,Camarón rosado neptuno,Crevette neptune
NRG,Parapenaeus longipes,Flamingo shrimp,Camarón flamenco,Crevette flamande
NRH,Palinurus charlestoni,Cape Verde spiny lobster,Langosta de Cabo Verde,Langouste de Cap Vert
NRI,Parapenaeus investigatoris,Explorer rose shrimp,Camarón explorador,Crevette rose chercheuse
NRJ,Parapenaeopsis arafurica,Arafura shrimp,Camarón arafura,Crevette arafura
NRK,Parapenaeus lanceolatus,Lancer rose shrimp,Camarón rosado lanzón,Crevette rose lancier
NRL,Nerophis lumbriciformis,Worm pipefish,,
NRM,Nerophis maculatus,,,
NRN,Neetroplus nematopus,,,
NRO,Nerophis ophidion,Straightnose pipefish,,
NRP,Parapenaeus politus,Rose shrimp,,Crevette rose
NRQ,Anadara similis,Brown ark,Arca prieta,Arche brune
NRR,Parapenaeus sextuberculatus,Domino shrimp,Camarón dominó,Crevette domino
NRS,Notropis signipinnis,Flagfin shiner,,
NRT,Notropis stramineus,Sand shiner,,
NRU,Neolamprologus boulengeri,,,
NRV,Notropis volucellus,Mimic shiner,,
NRX,Notropis texanus,Weed shiner,,
NRY,Parapenaeus spp,Parapenaeus shrimps nei,Camarones Parapenaeus nep,Crevettes Parapenaeus nca
NSA,Neosilurus argenteus,Silver tandan,,
NSB,Neosilurus brevidorsalis,Shortfin tandan,,
NSC,Scolopsis bilineatus,Two-lined monocle bream,Besugato rayado,Mamila griffée
NSD,Notacanthus sexspinis,Spiny-back eel,Espinudo del Cabo,Tapir du Cap
NSE,Scolopsis taeniopterus,Lattice monocle bream,,
NSF,Nassa francolina,Francolina jopas,,Jopas francolin
NSG,Scolopsis ghanam,Arabian monocle bream,Besugato de Arabia,Mamila arabe
NSH,Neoscorpis lithophilus,Stone-bream,,
NSI,Scolopsis bimaculatus,Thumbprint monocle bream,Besugato de San Pedro,Mamila Saint Pierre
NSJ,Neosynchiropus ijimai,Japanese dragonet,,
NSK,Amanses scopas,Broom filefish,,
NSL,Phocarctos hookeri,New Zealand sea lion,Léon marino de Nueva Zelandia,Lion de mer de N.lle-Zélande
NSM,Neoscopelus macrolepidotus,Large-scaled lantern fish,,
NSN,Nes longus,Orangespotted goby,,
NSO,Scolopsis monogramma,Monogrammed monocle bream,,
NSP,Scolopsis vosmeri,Whitecheek monocle bream,Besugato cariblanco,Mamila joues blanches
NSQ,Nassarius mutabilis,Changeable nassa,Mugarida lisa,Nasse-ceinture
NSR,Neostethus amaricola,,,
NSS,Saurenchelys stylurus,,,
NST,Neosilurus ater,Narrowfront tandan,,
NSU,Notesthes robusta,Bullrout,,
NSV,Scaevius milii,Green-striped coral bream,,
NSW,Neoscombrops pacificus,,,
NSX,Nassa serta,Wreath jopas,,Jopas guirlande
NSY,Neoscombrops cynodon,Silver splitfin,,
NSZ,Nansenia antarctica,,,
NTA,Notropis atherinoides,Emerald shiner,,
NTB,Notropis bairdi,Red River shiner,,
NTC,Notorynchus cepedianus,Broadnose sevengill shark,Cañabota gata,Platnez
NTD,Notropis dorsalis,Bigmouth shiner,,
NTE,Notropis heterodon,Blackchin shiner,,
NTF,Pantomus affinis,Hinged shrimp,Camarón bisagra,Crevette charnière
NTG,Notropis girardi,Arkansas River shiner,,
NTH,Temera hardwickii,,,
NTI,Notropis rupestris,Bedrock shiner,,
NTJ,Acanthopsetta nadeshnyi,Scale-eye plaice,,
NTK,Acanthacaris caeca,Atlantic deep-sea lobster,Cigala de fondo,Langoustine arganelle
NTL,Notropis longirostris,Longnose shiner,,
NTM,Acanthodoras spinosissimus,Talking catfish,,
NTN,Notropis lutipinnis,Yellowfin shiner,,
